avg_price,closed_price,datetime,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,name,open_price,rarity,volume,wa_price
15.0,15.0,2021-02-12,15.0,40.0,602716a0ecdd910023cb7122,15.0,15.0,15.0,3.0,21.4,Deceptive Bond,15.0,Rare,1.0,15.0
18.0,18.0,2021-02-13,8.0,18.0,60286854ecdd910022cbd279,18.0,18.0,18.0,5.0,11.0,Deep Freeze,18.0,Uncommon,1.0,18.0
40.0,40.0,2020-12-29,40.0,40.0,5febc30aecdd9100259e8083,40.0,40.0,40.0,0.0,,Defiled Reckoning,40.0,Rare,1.0,40.0
12.0,12.0,2021-01-16,12.0,15.0,60037e59ecdd910022b03e49,12.0,12.0,12.0,3.0,,Desiccation'S Curse,12.0,Rare,1.0,12.0
11.0,10.0,2021-02-13,9.0,15.0,6028685aecdd910023cc7272,13.0,12.0,9.0,3.0,11.0,Despoil,12.0,Rare,9.0,11.111
75.0,75.0,2021-02-10,75.0,185.0,602473beecdd910025c7c471,75.0,75.0,75.0,0.0,,Diamond Skin,75.0,Uncommon,1.0,75.0
40.0,40.0,2021-01-04,20.0,50.0,5ff3ac1decdd910022a4f405,40.0,40.0,40.0,0.0,,Discharge Strike,40.0,Rare,1.0,40.0
2.0,2.0,2021-02-07,2.0,3.0,60207f9fecdd910023c68a7f,2.0,2.0,2.0,0.0,2.2,Dispatch Overdrive,2.0,Uncommon,1.0,2.0
2.0,2.0,2020-12-21,2.0,2.0,5fe1372becdd910025974aad,2.0,2.0,2.0,0.0,,Disruptor,2.0,Common,1.0,2.0
12.0,12.0,2021-02-11,10.0,40.0,6025c556ecdd910024ca405a,12.0,12.0,12.0,3.0,17.8,Dread Ward,12.0,Rare,1.0,12.0
8.5,12.0,2021-02-13,5.0,16.0,6028686decdd910025cac224,12.0,8.5,5.0,3.0,10.0,Drifting Contact,5.0,Rare,3.0,7.333
12.5,15.0,2021-02-13,10.0,15.0,60286858ecdd910025cabe32,15.0,13.0,10.0,0.0,12.0,Duality,14.0,Rare,7.0,12.857
120.0,120.0,2021-02-13,90.0,120.0,6028686eecdd910024cc47e9,120.0,120.0,120.0,5.0,101.8,Efficient Beams,120.0,Rare,1.0,120.0
9.0,9.0,2021-02-10,4.0,9.0,602473edecdd910022c8e0b3,9.0,9.0,9.0,0.0,6.6,Electromagnetic Shielding,9.0,Uncommon,1.0,9.0
